id	method	nsnp	b	se	CIlower	CIupper	pval	intercept	intercept_se	inter_CIlower	inter_CIupper	intercept_pval	hetero_Q	hetero_pvale	heterogenity	pleiotropy	fdr
SeqId_12831_21	IVW	3	0.0212812335845537	0.0134330368893647	-0.00504703492159904	0.0476095020907065	0.113137772301756	NA	NA	NA	NA	NA	0.578088066171731	0.748979224810039	FALSE	FALSE	0.494010623289624
SeqId_8476_11	IVW	3	0.0108322448105208	0.0178879222053949	-0.0242274384703074	0.045891928091349	0.544805684540866	NA	NA	NA	NA	NA	0.453848267151836	0.796981244113651	FALSE	FALSE	0.859297957989067
SeqId_10816_150	IVW	3	0.00464340099599998	0.0051086465912251	-0.00536936233254453	0.0146561643245445	0.363387195750135	NA	NA	NA	NA	NA	2.72180194213481	0.256429637160152	FALSE	FALSE	0.800193030994402
SeqId_6402_8	IVW	3	0.00490348155350876	0.00541241530761613	-0.00570465751879212	0.0155116206258096	0.364952156205414	NA	NA	NA	NA	NA	2.72717509069777	0.255741644477481	FALSE	FALSE	0.800193030994402
SeqId_7849_3	IVW	4	-0.00242971142234896	0.014339412544131	-0.0305344435683075	0.0256750207236096	0.865448294255541	NA	NA	NA	NA	NA	1.29478433050475	0.730371959848109	FALSE	FALSE	0.978924906264572
SeqId_6478_2	IVW	5	0.0205381266838683	0.0375538877017712	-0.053066140691065	0.0941423940588015	0.584449164627461	NA	NA	NA	NA	NA	15.0367028550405	0.00462569522764398	TRUE	FALSE	0.86974764867082
SeqId_3077_66	IVW	3	-0.0166489980874872	0.0153158817226614	-0.0466675746553788	0.0133695784804043	0.277018497031131	NA	NA	NA	NA	NA	4.26003336657194	0.11883531127239	FALSE	FALSE	0.724297617918184
SeqId_3184_25	IVW	4	0.00561875629915328	0.00618907559895165	-0.00651160897238761	0.0177491215706942	0.363957134479817	NA	NA	NA	NA	NA	1.87523914970549	0.598700474619917	FALSE	FALSE	0.800193030994402
SeqId_5353_89	IVW	3	-0.028665154662118	0.0107908672628996	-0.0498148658593536	-0.00751544346488245	0.00789734708915171	NA	NA	NA	NA	NA	12.7014931082297	0.00174544358164656	TRUE	TRUE	0.138890042259431
SeqId_7251_64	IVW	3	0.0172204666731059	0.0284770482948527	-0.0385935223708131	0.0730344557170249	0.545369116843175	NA	NA	NA	NA	NA	1.95381738234044	0.376473096486613	FALSE	FALSE	0.859297957989067
SeqId_7145_1	IVW	4	0.00274338105179785	0.00999244821799769	-0.0168414575728591	0.0223282196764548	0.783665491638466	NA	NA	NA	NA	NA	6.10602206360172	0.106564424690586	FALSE	FALSE	0.95486171956702
SeqId_19173_5	IVW	7	0.00920803201538177	0.0108770359488136	-0.0121105667028404	0.0305266307336039	0.397242034057213	NA	NA	NA	NA	NA	10.9104181176757	0.0911848412008125	FALSE	FALSE	0.822449907312054
SeqId_12338_27	IVW	3	0.0475452750695261	0.0235181977847185	0.00145045443018825	0.093640095708864	0.0432137952418613	NA	NA	NA	NA	NA	0.398027210776669	0.819538743114219	FALSE	FALSE	0.328933241429227
SeqId_2977_7	IVW	3	-0.0084370471134523	0.0107596390542959	-0.0295255521465229	0.0126514579196183	0.43295885310747	NA	NA	NA	NA	NA	0.829836660058041	0.660394212878834	FALSE	FALSE	0.838605279949932
SeqId_2834_54	IVW	6	0.00757646995128973	0.0164408187101763	-0.0246469425970081	0.0397998824995876	0.64491850494324	NA	NA	NA	NA	NA	11.0407377664082	0.0505782294914411	FALSE	TRUE	0.895518601433894
SeqId_5740_17	IVW	5	-0.0243481891531813	0.0150233018549543	-0.0537933197177655	0.00509694141140291	0.105083081438433	NA	NA	NA	NA	NA	1.35323632677295	0.852280657010863	FALSE	FALSE	0.480485891806828
SeqId_2849_49	IVW	5	-0.0294696602631519	0.0676806170832047	-0.162121232197679	0.103181911671376	0.663255816156045	NA	NA	NA	NA	NA	59.1905022949368	4.29140752749571e-12	TRUE	FALSE	0.904190610585705
SeqId_5688_65	IVW	8	-0.0124633445342906	0.0175815212924138	-0.0469224930608458	0.0219958039922645	0.478393450501617	NA	NA	NA	NA	NA	14.8291476650368	0.038252921069004	TRUE	FALSE	0.839372437834547
SeqId_17675_17	IVW	3	-0.00647536442665359	0.0195442947694474	-0.0447814782780051	0.0318307494246979	0.740404768898284	NA	NA	NA	NA	NA	6.57266248437223	0.0373907757685515	TRUE	FALSE	0.937190939579216
SeqId_5618_50	IVW	4	0.0121526347087753	0.0205770060010904	-0.0281775559630264	0.052482825380577	0.554793188668735	NA	NA	NA	NA	NA	6.22040876522951	0.101365632255837	FALSE	FALSE	0.860045682023614
SeqId_16916_19	IVW	5	-0.0152936484018679	0.0216853554232106	-0.057796164023311	0.0272088672195752	0.480653192972908	NA	NA	NA	NA	NA	10.120149675965	0.0384516877826817	TRUE	FALSE	0.839372437834547
SeqId_14156_33	IVW	3	0.00159284895297866	0.00636884929220348	-0.0108898662827036	0.0140755641886609	0.802510046940306	NA	NA	NA	NA	NA	4.53310918962111	0.103668746309327	FALSE	FALSE	0.968272541956843
SeqId_13124_20	IVW	3	0.0494887264272749	0.0233534944343833	0.00371671842272694	0.0952607344318228	0.0340807997539247	NA	NA	NA	NA	NA	0.327613060179763	0.848906243808382	FALSE	FALSE	0.292056654844891
SeqId_3175_51	IVW	3	0.00773714245119546	0.00861268909194292	-0.00914341797905364	0.0246177028814446	0.369003117236436	NA	NA	NA	NA	NA	0.463059023494634	0.793319282919434	FALSE	FALSE	0.803855275595872
SeqId_7211_2	IVW	4	-0.0105428675186684	0.0135370951014036	-0.037075086372713	0.0159893513353763	0.436089797239121	NA	NA	NA	NA	NA	2.13437530454029	0.54498976954407	FALSE	FALSE	0.839259291879552
SeqId_8356_88	IVW	8	-0.0114674777411806	0.0128817950202536	-0.036715332037105	0.0137803765547438	0.373354178148411	NA	NA	NA	NA	NA	11.6150911215236	0.113948681812181	FALSE	TRUE	0.807482719709372
SeqId_7757_5	IVW	6	-0.0557849335300406	0.0770300823589131	-0.206761120679665	0.0951912536195833	0.468944967628066	NA	NA	NA	NA	NA	350.953462393926	1.09099845314044e-73	TRUE	TRUE	0.839372437834547
SeqId_4811_33	IVW	3	-0.0346090082746571	0.0297923094145236	-0.0930008617433968	0.0237828451940827	0.245367132890946	NA	NA	NA	NA	NA	3.52056281358586	0.171996456041141	FALSE	FALSE	0.694759452868455
